שם הפריט,כמות,יחידה,עמדה,להכנה?
בצק עלים,3,יח,מאפייה פתוחה,FALSE
כרישות למילוי,4,ליטר,מאפייה פתוחה,FALSE
רוסטביף פרוס דק,5,קג,מאפייה פתוחה,FALSE
איולי אריסה,2,ליטר,מאפייה פתוחה,FALSE
רוקט,2,קג,מרוכז,FALSE
     ↳ מאפייה פתוחה (1),,,,
     ↳ עמדת קרפצ'יו (1),,,,
ראגו בקר,4,ליטר,מאפייה פתוחה,FALSE
זיתים,4,ליטר,מאפייה פתוחה,FALSE
בצל צרוב,6,ליטר,מרוכז,FALSE
     ↳ מאפייה פתוחה (2),,,,
     ↳ פיתה קצבים (4),,,,
פלפלים חריפים,1,ליטר,מאפייה פתוחה,FALSE
עגבניות מדורה,2,ליטר,מאפייה פתוחה,FALSE
חמוצים,4,ליטר,מאפייה פתוחה,FALSE
קרפצ'יו בקר,8,גליל,עמדת קרפצ'יו,FALSE
בלסמי,1,יח,עמדת קרפצ'יו,FALSE
צנוניות,2,שקיות,עמדת קרפצ'יו,FALSE
טונה אדומה,4,קג,עמדת קרפצ'יו,FALSE
פילה מוסר בלי עור,4,קג,עמדת קרפצ'יו,FALSE
אבוקדו קוביות,1,שקית,עמדת קרפצ'יו,FALSE
שומשום קלוי,1,ליטר,עמדת קרפצ'יו,FALSE
רוטב פונזו,2,ליטר,עמדת קרפצ'יו,FALSE
מיקרו כוסברה,4,יח,מרוכז,FALSE
     ↳ עמדת קרפצ'יו (2),,,,
     ↳ עמדת ירקות (2),,,,
קיצוצים נענע כוסבכה בצל סגול עירית פלפל חריף,4,ליטר,עמדת קרפצ'יו,FALSE
סקורדליה,2,ליטר,עמדת קרפצ'יו,FALSE
בצק בייגלה,2.5,נג',עמדת ירקות,FALSE
בצק פוגאס,2,נג,עמדת ירקות,FALSE
שומר פרוס,7,קג,עמדת ירקות,FALSE
פלחי הדרים,4,ליטר,עמדת ירקות,FALSE
קולורבי,10,קג,עמדת ירקות,FALSE
צנובר,1,ליטר,עמדת ירקות,FALSE
דבש פתוח,1,ליטר,עמדת ירקות,FALSE
ארטישוק צלוי,4,ליטר,עמדת ירקות,FALSE
עגבניות שרי חצאים,8,ליטר,עמדת ירקות,FALSE
זיתים קצוץ גס,2,ליטר,עמדת ירקות,FALSE
לבבות קיסר,10,יח,עמדת ירקות,FALSE
רוטב קיסר בלי גבינה,2,ליטר,עמדת ירקות,FALSE
חסה לאליק,10,יח,עמדת ירקות,FALSE
קרוטונים דקים,4,ליטר,עמדת ירקות,FALSE
פפאיה מגורד,12,ליטר,עמדת ירקות,FALSE
רוטב סום טאם,4,ליטר,עמדת ירקות,FALSE
שרי לפפאיה,4,ליטר,עמדת ירקות,FALSE
בוטנים קצוצים,2,ליטר,עמדת ירקות,FALSE
שעועית ירוקה צ'אנקים,4,ליטר,עמדת ירקות,FALSE
מיקס עלים לפפאיה,4,ליטר,עמדת ירקות,FALSE
סלק שישיות צרוב,8,קג,עמדת ירקות,FALSE
ויניגרט סלק,2,ליטר,עמדת ירקות,FALSE
פיסטוק קצוץ,1,ליטר,עמדת ירקות,FALSE
עלי מקירו בסזיליקום,3,יח,עמדת ירקות,FALSE
צ'ילי טבעות,2,ליטר,עמדת ירקות,FALSE
אנטרקוט,50,קג,גריל,FALSE
תפוחי אדמה,30,קג,גריל,FALSE
איויל חרדל,6,ליטר,גריל,FALSE
בטטה,30,קג,גריל,FALSE
צ'מיצורי,6,ליטר,גריל,FALSE
פילה דג,18,קג,טאבון עצים,FALSE
ברוקולי,8,קג,טאבון עצים,FALSE
שעועית ירוקה,4,קג,טאבון עצים,FALSE
זוקיני,15,קג,טאבון עצים,FALSE
תרד מנגולד,4,קג,טאבון עצים,FALSE
סקורלדיה,4,ליטר,טאבון עצים,FALSE
פרגית,30,קג,גירוס,FALSE
בצל צרוב,15,קג,גירוס,FALSE
גירוס פיתה,180,יח,גירוס,FALSE
טחינ ה,4,ליטר,גירוס,FALSE
בצל שרוף שישיות,10,קג,גירוס,FALSE
סלסה חריפה,4,ליטר,גירוס,FALSE
עגבנייה שרופה שישיות,10,קג,גירוס,FALSE
פלפל חריף,3,קג,גירוס,FALSE
בצל סומק פרוס דק עם פטרוזיליה,4,ליטר,גירוס,FALSE
פפרדלה,2,קרטון,מחבתות,FALSE
עגבניות מדורה טחון,12,ליטר,מחבתות,FALSE
שמן צ'ילי,2,ליטר,מחבתות,FALSE
בזיליקום עלים,0,יח,מחבתות,FALSE
רוטב פסטו בלי גבינה,2,ליטר,מחבתות,FALSE
קרמבל צנובר,2,ליטר,מחבתות,FALSE
סופלונים,7,קרטון,קינוחים,FALSE
גלידה וניל,1,יח,קינוחים,FALSE
פבלובות,6,יח,קינוחים,FALSE
קרם פטיסייר פרווה,4,ליטר,קינוחים,FALSE
תותים ששיות,4,קג,קינוחים,FALSE
קרק פאי פיסטוק,6,יח,קינוחים,FALSE
ספינג' שקילות,6,קג קמח,קינוחים,FALSE
עוגת בסיקווטים פסים,10,יח,קינוחים,FALSE
מינוט סטייק,10,קג,פיתה קצבים,FALSE
מיני פיתה,100,יח,פיתה קצבים,FALSE
טחינה,2,ליטר,פיתה קצבים,FALSE
סלסה עגבניות חריפה,2,ליטר,פיתה קצבים,FALSE
פטרוזיליה,2,ליטר,פיתה קצבים,FALSE
בצל סומק,2,ליטר,פיתה קצבים,FALSE
עמבה,1,ליטר,פיתה קצבים,FALSE
צ'יפס,1,קרטון,פיתה קצבים,FALSE
קטשופ,2,ליטר,פיתה קצבים,FALSE